,Latitude,Longitude,MedInc
197,37.77,-122.22,2.59
198,37.77,-122.23,2.57
199,37.78,-122.23,2.6429
200,37.78,-122.23,3.0257
201,37.78,-122.22,1.4886
202,37.78,-122.23,1.9338
203,37.78,-122.23,1.4844
204,37.78,-122.23,1.6009
205,37.79,-122.23,2.0375
206,37.79,-122.23,2.293
207,37.79,-122.22,2.1494
208,37.79,-122.23,1.6198
209,37.79,-122.23,1.3281
210,37.79,-122.22,3.5156
211,37.79,-122.22,3.9048
212,37.79,-122.21,3.0893
213,37.79,-122.22,2.6042
214,37.79,-122.22,2.5
215,37.79,-122.22,2.7969
216,37.79,-122.2,2.8321
217,37.79,-122.21,2.9583
218,37.79,-122.21,2.8365
219,37.79,-122.21,2.875
220,37.8,-122.21,3.0682
221,37.8,-122.21,3.0757
222,37.8,-122.2,4.9559
223,37.8,-122.2,4.7721
224,37.8,-122.21,3.4861
225,37.8,-122.2,5.1184
226,37.8,-122.21,4.0977
227,37.8,-122.19,4.744
228,37.8,-122.19,4.2727
229,37.79,-122.19,2.9844
230,37.79,-122.2,4.1739
231,37.8,-122.2,3.8487
232,37.8,-122.19,4.0114
233,37.79,-122.19,4.6563
234,37.79,-122.19,2.9297
235,37.79,-122.2,2.3036
236,37.79,-122.2,2.6667
237,37.79,-122.2,2.619
238,37.79,-122.21,2.4167
239,37.79,-122.2,2.7788
240,37.78,-122.21,2.7352
241,37.78,-122.21,1.8472
242,37.78,-122.21,2.6583
243,37.78,-122.21,3.0536
244,37.78,-122.22,2.3906
245,37.78,-122.21,1.7188
246,37.78,-122.21,2.625
247,37.77,-122.22,2.8015
248,37.78,-122.22,1.7276
249,37.78,-122.22,2.0801
250,37.78,-122.22,2.489
251,37.76,-122.21,1.7546
252,37.77,-122.21,4.0904
253,37.77,-122.21,2.6765
254,37.77,-122.2,2.4338
255,37.77,-122.21,2.3309
256,37.77,-122.21,2.2604
257,37.77,-122.19,1.8039
258,37.77,-122.2,2.2562
259,37.77,-122.2,2.0562
260,37.78,-122.2,3.5398
261,37.78,-122.2,3.1167
262,37.78,-122.2,2.5401
263,37.77,-122.2,2.898
264,37.78,-122.21,2.3125
265,37.78,-122.19,2.875
266,37.77,-122.19,3.3715
267,37.77,-122.19,3.5114
268,37.78,-122.19,4.3125
269,37.78,-122.19,3.22
270,37.78,-122.18,3.875
271,37.78,-122.19,5.2328
272,37.78,-122.19,3.7262
273,37.78,-122.2,4.5893
274,37.79,-122.18,5.2578
275,37.79,-122.18,7.0875
276,37.79,-122.18,3.9712
277,37.79,-122.19,2.9514
278,37.79,-122.19,2.6667
279,37.81,-122.18,5.4446
280,37.8,-122.18,6.2838
281,37.8,-122.18,6.7527
282,37.77,-122.13,7.0712
283,37.79,-122.16,5.9849
284,37.78,-122.17,3.6875
285,37.77,-122.17,2.875
286,37.78,-122.18,3.4205
287,37.78,-122.18,3.2984
288,37.78,-122.17,3.875
289,37.78,-122.17,4.175
290,37.77,-122.16,4.375
291,37.77,-122.16,4.7708
292,37.77,-122.16,3.5739
293,37.77,-122.16,3.0958
294,37.77,-122.17,3.3958
295,37.77,-122.17,1.871
296,37.76,-122.17,1.9356
297,37.76,-122.17,2.1842
298,37.76,-122.18,2.2917
299,37.76,-122.17,2.4333
300,37.76,-122.18,1.9479
301,37.76,-122.18,3.9063
302,37.76,-122.18,1.8407
303,37.77,-122.18,2.0786
304,37.77,-122.18,2.8125
305,37.76,-122.18,1.8913
306,37.76,-122.19,1.7056
307,37.77,-122.18,2.2768
308,37.77,-122.18,3.2552
309,37.77,-122.18,2.0556
310,37.76,-122.19,2.4659
311,37.76,-122.2,1.75
312,37.77,-122.19,2.0469
313,37.77,-122.19,2.7159
314,37.76,-122.19,1.2083
315,37.76,-122.19,1.925
316,37.75,-122.2,1.5809
317,37.76,-122.2,1.4097
318,37.76,-122.19,0.7683
319,37.75,-122.19,1.3194
320,37.75,-122.19,0.8012
321,37.76,-122.19,1.9479
322,37.74,-122.19,1.1765
323,37.74,-122.18,2.3456
324,37.73,-122.19,2.1538
325,37.74,-122.19,2.5139
326,37.73,-122.19,1.2625
327,37.73,-122.18,2.9063
328,37.73,-122.18,2.5192
329,37.73,-122.18,2.1111
330,37.73,-122.18,2.455
331,37.74,-122.17,2.4028
332,37.74,-122.17,2.15
333,37.74,-122.17,2.4776
334,37.73,-122.17,2.1587
335,37.74,-122.18,1.8438
336,37.74,-122.17,3.0298
337,37.74,-122.17,2.25
338,37.74,-122.18,2.2467
339,37.75,-122.18,4.0469
340,37.75,-122.18,1.325
341,37.75,-122.17,1.6196
342,37.75,-122.18,2.1731
343,37.75,-122.19,1.9167
344,37.75,-122.18,2.069
345,37.75,-122.18,1.712
346,37.76,-122.17,2.5625
347,37.75,-122.17,1.9821
348,37.75,-122.17,2.5043
349,37.75,-122.17,2.3281
350,37.75,-122.17,1.4375
351,37.76,-122.16,2.5122
352,37.75,-122.16,1.5625
353,37.75,-122.17,3.1587
354,37.76,-122.17,1.8426
355,37.76,-122.16,4.6696
356,37.76,-122.16,2.4598
357,37.76,-122.15,6.0749
358,37.77,-122.14,4.8304
359,37.76,-122.14,5.5701
360,37.76,-122.13,5.37
361,37.75,-122.12,6.86
362,37.75,-122.12,7.6923
363,37.75,-122.14,4.0313
364,37.75,-122.14,6.8323
365,37.75,-122.13,4.975
366,37.75,-122.13,5.3602
367,37.74,-122.13,5.0
368,37.75,-122.16,2.925
369,37.75,-122.15,3.8913
370,37.75,-122.15,3.225
371,37.74,-122.15,3.1458
372,37.75,-122.16,2.537
373,37.75,-122.16,2.5568
374,37.74,-122.15,3.5083
375,37.74,-122.15,3.3125
376,37.75,-122.16,1.8235
377,37.75,-122.16,3.8047
378,37.74,-122.17,2.2917
379,37.75,-122.17,2.4962
380,37.74,-122.16,4.0417
381,37.74,-122.16,3.4844
382,37.74,-122.16,4.1458
383,37.74,-122.16,2.625
384,37.74,-122.16,2.0227
385,37.9,-122.29,3.3333
386,37.9,-122.29,5.337999999999999
387,37.89,-122.29,3.4732
388,37.9,-122.3,3.5125
389,37.89,-122.29,3.1375
390,37.89,-122.3,2.8036
391,37.9,-122.3,4.5824
392,37.89,-122.3,3.0208
393,37.89,-122.3,4.0875
394,37.89,-122.33,4.5268
395,37.88,-122.34,1.7375
396,37.89,-122.29,3.1795
397,37.88,-122.29,3.8672
398,37.89,-122.29,5.1675
399,37.89,-122.29,5.1696
400,37.88,-122.28,4.2614
401,37.89,-122.29,5.0551
402,37.9,-122.27,5.6228
403,37.9,-122.26,7.8864
404,37.9,-122.27,7.9556
405,37.9,-122.27,6.174
406,37.9,-122.27,6.9414
407,37.89,-122.27,8.8342
408,37.9,-122.28,7.1754
409,37.9,-122.28,10.0825
410,37.9,-122.28,4.9083
411,37.89,-122.28,5.7912
412,37.89,-122.28,4.5893
413,37.89,-122.28,5.4171
414,37.89,-122.28,4.125
415,37.89,-122.27,7.266
416,37.89,-122.27,5.3989
417,37.9,-122.26,7.8336
418,37.89,-122.25,6.1593
419,37.89,-122.26,6.381
420,37.89,-122.26,6.6828
421,37.89,-122.25,7.5385
422,37.89,-122.25,6.7138
423,37.88,-122.26,6.2425
424,37.88,-122.26,5.7979
425,37.88,-122.27,4.2813
426,37.88,-122.27,3.5417
427,37.88,-122.27,3.0132
428,37.88,-122.28,4.1429
429,37.88,-122.28,4.1912
430,37.88,-122.28,3.9167
431,37.88,-122.29,3.8897
432,37.88,-122.29,3.1065
433,37.88,-122.29,2.9926
434,37.88,-122.29,3.556
435,37.88,-122.3,1.475
436,37.88,-122.3,1.6971
437,37.87,-122.3,2.1705
438,37.86,-122.3,2.75
439,37.85,-122.29,2.5682
440,37.88,-122.3,2.9
441,37.87,-122.3,2.2208
442,37.88,-122.28,3.2344
443,37.87,-122.28,3.5156
444,37.87,-122.28,1.9805
445,37.87,-122.29,2.6684
446,37.87,-122.29,3.875
447,37.88,-122.28,3.006
448,37.87,-122.28,2.543
449,37.87,-122.28,2.8676
450,37.88,-122.27,2.1907
451,37.87,-122.27,1.7778
452,37.88,-122.27,2.52
453,37.88,-122.26,4.2788
454,37.88,-122.26,2.944
455,37.88,-122.26,1.725
456,37.87,-122.25,5.2289
457,37.87,-122.25,2.5562
458,37.87,-122.25,0.949
459,37.87,-122.25,1.1696
460,37.87,-122.26,1.4012
461,37.87,-122.26,1.1859
462,37.87,-122.27,1.7464
463,37.87,-122.27,2.8846
464,37.87,-122.27,2.7372
465,37.86,-122.28,3.8594
466,37.87,-122.28,3.5625
467,37.87,-122.28,2.2788
468,37.87,-122.29,2.537
469,37.87,-122.29,2.525
470,37.86,-122.29,1.9946
471,37.86,-122.28,2.8214
472,37.87,-122.29,2.6165
473,37.86,-122.29,1.9483
474,37.86,-122.28,1.9327
475,37.86,-122.28,1.9798
476,37.85,-122.28,2.4167
477,37.86,-122.27,2.5417
478,37.86,-122.28,3.3906
479,37.86,-122.28,2.5652
480,37.86,-122.28,2.2845
481,37.86,-122.27,2.6071
482,37.86,-122.27,3.15
483,37.86,-122.27,2.6914
484,37.86,-122.27,1.8447
485,37.86,-122.26,1.6307
486,37.86,-122.26,2.9044
487,37.86,-122.26,2.9405
488,37.86,-122.26,3.3893
489,37.86,-122.25,3.0417
490,37.86,-122.25,7.0897
491,37.86,-122.25,5.0463
492,37.86,-122.25,1.7652
493,37.86,-122.24,7.8521
494,37.85,-122.24,9.3959
495,37.86,-122.25,5.3794
496,37.85,-122.26,3.2619
497,37.85,-122.27,2.7054
498,37.85,-122.27,2.2431
499,37.85,-122.27,1.9028
500,37.85,-122.27,1.5817
501,37.85,-122.27,2.2841
502,37.85,-122.27,1.3785
503,37.85,-122.28,2.9018
504,37.85,-122.28,1.73
505,37.85,-122.28,2.2625
506,37.84,-122.29,2.2106
507,37.83,-122.28,2.6997
508,37.84,-122.3,4.0018
509,37.83,-122.23,7.8772
510,37.82,-122.22,11.8603
511,37.82,-122.22,13.499
512,37.82,-122.23,12.2138
513,37.82,-122.23,8.1872
514,37.82,-122.23,12.3804
515,37.83,-122.24,5.8948
516,37.83,-122.24,8.1194
517,37.82,-122.23,8.7477
518,37.82,-122.24,6.155
519,37.82,-122.25,5.882999999999999
520,37.76,-122.23,5.2128
521,37.76,-122.23,4.7188
522,37.76,-122.23,5.2915
523,37.77,-122.24,2.6411
524,37.77,-122.23,3.3214
525,37.77,-122.24,3.6417
526,37.77,-122.25,3.0161
527,37.77,-122.25,3.1771
528,37.77,-122.25,3.4531
529,37.77,-122.25,4.3098
530,37.78,-122.26,3.3438
531,37.78,-122.26,2.9213
532,37.78,-122.27,2.6806
533,37.78,-122.27,3.7708
534,37.78,-122.27,3.9444
535,37.78,-122.27,5.2601
536,37.79,-122.28,2.5444
537,37.77,-122.3,2.6447
538,37.78,-122.28,2.5762
539,37.78,-122.29,1.9427
540,37.77,-122.28,2.9688
541,37.77,-122.28,3.75
542,37.76,-122.29,5.1702
543,37.78,-122.28,2.5139
544,37.77,-122.26,2.9732
545,37.77,-122.27,5.5337
546,37.77,-122.27,4.1667
547,37.77,-122.27,2.7115
548,37.77,-122.27,3.3269
549,37.77,-122.25,3.2685
550,37.77,-122.26,4.7778
551,37.77,-122.26,4.226
552,37.77,-122.26,3.3571
553,37.77,-122.26,2.9899
554,37.77,-122.26,2.875
555,37.77,-122.24,2.3882
556,37.77,-122.25,2.975
557,37.76,-122.23,5.1039
558,37.76,-122.23,4.1458
559,37.76,-122.24,3.4762
560,37.76,-122.24,2.6833
561,37.76,-122.23,5.75
562,37.75,-122.23,3.9632
563,37.75,-122.24,4.9489
564,37.75,-122.24,4.8711
565,37.76,-122.24,3.0718
566,37.76,-122.24,3.6719
567,37.76,-122.24,4.6094
568,37.73,-122.24,4.5213
569,37.74,-122.25,4.4562
570,37.72,-122.24,7.611000000000001
571,37.73,-122.27,3.2689
572,37.76,-122.25,3.567
573,37.74,-122.27,3.6875
574,37.77,-122.27,4.7695
575,37.75,-122.28,3.1972
576,37.77,-122.06,7.2634
577,37.73,-122.06,7.0568
578,37.71,-122.06,4.635
579,37.71,-122.07,5.3015
580,37.71,-122.07,4.9801
581,37.72,-122.07,5.4834
582,37.72,-122.08,6.187
583,37.72,-122.08,5.6194
584,37.71,-122.08,5.4639
585,37.71,-122.09,5.1498
586,37.72,-122.1,5.8382
587,37.71,-122.11,4.65
588,37.7,-122.1,4.3819
589,37.69,-122.1,3.7222
590,37.71,-122.09,5.2855
591,37.7,-122.09,4.3375
592,37.71,-122.1,5.2131
593,37.7,-122.09,6.005
594,37.71,-122.08,5.0519
595,37.71,-122.08,4.8237
596,37.7,-122.08,5.2497
597,37.7,-122.07,4.125
598,37.7,-122.06,4.6005
599,37.7,-122.06,3.5187
600,37.7,-122.07,3.0
601,37.7,-122.08,3.4934
602,37.7,-122.09,2.9861
603,37.69,-122.07,2.5362
604,37.69,-122.08,3.3021
605,37.69,-122.07,3.0964
606,37.69,-122.08,2.8512
607,37.69,-122.08,3.3478
608,37.68,-122.08,2.3958
609,37.68,-122.08,3.5295
610,37.69,-122.09,4.8036
611,37.74,-122.15,3.851
612,37.74,-122.14,4.0662
613,37.73,-122.14,4.6042
614,37.74,-122.15,2.2
615,37.73,-122.16,4.1164
616,37.74,-122.15,3.95
617,37.73,-122.15,4.9135
618,37.73,-122.15,2.8355
619,37.73,-122.17,3.25
620,37.73,-122.16,2.8301
621,37.73,-122.17,3.7159
622,37.73,-122.16,2.5625
623,37.72,-122.18,3.8047
624,37.71,-122.18,3.375
625,37.71,-122.17,3.244
626,37.7,-122.18,4.0268
627,37.7,-122.18,3.3906
628,37.71,-122.19,5.5461
629,37.72,-122.17,3.3710000000000004
630,37.72,-122.17,3.5313
631,37.72,-122.17,3.663
632,37.72,-122.16,2.875
633,37.72,-122.17,4.0202
634,37.71,-122.16,4.5553
635,37.71,-122.16,3.4643
636,37.72,-122.16,3.3431
637,37.73,-122.15,2.1898
638,37.72,-122.15,2.9097
639,37.72,-122.15,3.375
640,37.72,-122.15,2.8125
641,37.73,-122.14,5.0
642,37.73,-122.14,3.0673
643,37.73,-122.14,3.8125
644,37.73,-122.13,6.9096
645,37.72,-122.13,7.912000000000001
646,37.72,-122.13,3.8393
647,37.71,-122.12,4.0
648,37.72,-122.13,6.5095
649,37.72,-122.14,3.5156
650,37.72,-122.14,2.983
651,37.72,-122.13,3.524
652,37.71,-122.13,3.1103
653,37.71,-122.13,3.5781
654,37.71,-122.15,3.1682
655,37.71,-122.14,2.6101
656,37.71,-122.14,3.6932
657,37.7,-122.13,3.4583
658,37.7,-122.13,3.9032
659,37.71,-122.15,4.0208
660,37.7,-122.15,3.5547
661,37.7,-122.14,4.5859
662,37.7,-122.13,2.6321
663,37.69,-122.13,3.395
664,37.7,-122.14,3.9702
665,37.7,-122.16,5.0043
666,37.69,-122.14,4.4659
667,37.69,-122.15,3.6625
668,37.69,-122.15,3.8864
669,37.7,-122.15,3.4583
670,37.69,-122.16,3.7813
671,37.7,-122.16,2.9917
672,37.7,-122.16,4.4375
673,37.7,-122.17,4.0
674,37.68,-122.16,2.3869
675,37.69,-122.17,4.7609
676,37.68,-122.18,5.4858
677,37.69,-122.16,4.3971
678,37.69,-122.15,4.0109
679,37.68,-122.15,4.3864
680,37.68,-122.15,4.2841
681,37.69,-122.15,5.1312
682,37.69,-122.14,2.9958
683,37.68,-122.14,3.6364
684,37.68,-122.14,2.7955
685,37.69,-122.1,2.9507
686,37.69,-122.12,3.4375
687,37.69,-122.13,2.875
688,37.71,-122.12,3.0345
689,37.7,-122.12,2.679
690,37.7,-122.12,2.9922
691,37.69,-122.12,4.1042
692,37.7,-122.12,2.5833
693,37.7,-122.11,2.1552
694,37.7,-122.11,2.3274
695,37.7,-122.11,2.4206
696,37.69,-122.1,3.9063
697,37.69,-122.11,2.6464
698,37.69,-122.11,3.4643
699,37.69,-122.12,2.3973
700,37.69,-122.03,6.5
701,37.64,-121.97,6.0574
702,37.63,-122.02,3.8958
703,37.63,-122.04,4.7813
704,37.63,-122.05,3.2829
705,37.66,-122.04,5.3169
706,37.65,-122.04,6.2579
707,37.68,-122.05,5.1701
708,37.68,-122.07,3.25
709,37.68,-122.06,3.1796
710,37.68,-122.08,2.4196
711,37.68,-122.08,2.6563
712,37.67,-122.08,0.9637
713,37.67,-122.09,2.3357
714,37.68,-122.09,3.5114
715,37.69,-122.09,3.3125
716,37.68,-122.09,2.4042
717,37.68,-122.09,2.8322
718,37.68,-122.09,2.5156
719,37.68,-122.1,3.4032
720,37.68,-122.1,2.535
721,37.68,-122.11,2.5772
722,37.68,-122.1,3.0962
723,37.67,-122.1,2.9564
724,37.68,-122.1,3.125
725,37.68,-122.12,2.95
726,37.68,-122.12,4.38
727,37.68,-122.12,4.0417
728,37.67,-122.11,3.8
729,37.68,-122.12,3.4839
730,37.68,-122.13,4.0588
731,37.68,-122.13,4.1974
732,37.68,-122.13,3.6
733,37.68,-122.14,4.267
734,37.67,-122.14,4.2386
735,37.67,-122.15,5.5797
736,37.67,-122.14,4.0682
737,37.67,-122.13,3.1734
738,37.67,-122.14,4.7933
739,37.67,-122.14,4.8125
740,37.67,-122.13,3.8676
741,37.67,-122.12,3.9395
742,37.67,-122.13,3.2434
743,37.67,-122.11,3.0917
744,37.67,-122.11,3.0645
745,37.67,-122.09,2.7019
746,37.67,-122.09,3.1115
747,37.66,-122.09,3.4722
748,37.66,-122.09,2.2222
749,37.68,-122.05,6.1104
750,37.67,-122.06,4.2733
751,37.67,-122.07,3.2465
752,37.67,-122.07,3.2417
753,37.67,-122.07,3.875
754,37.67,-122.04,6.0501
755,37.67,-122.04,6.8233
756,37.66,-122.04,6.3501
757,37.66,-122.07,2.6719
758,37.66,-122.07,3.875
759,37.66,-122.08,2.5625
760,37.65,-122.07,3.016
761,37.65,-122.08,2.7694
762,37.65,-122.08,3.6818
763,37.66,-122.08,2.1382
764,37.66,-122.1,3.7303
765,37.66,-122.1,3.875
766,37.66,-122.1,3.0489
767,37.65,-122.09,2.8203
768,37.65,-122.09,4.3897
769,37.65,-122.09,4.7143
770,37.66,-122.1,4.6875
771,37.66,-122.11,3.2091
772,37.66,-122.1,4.275
773,37.66,-122.11,4.1302
774,37.66,-122.11,3.09
775,37.65,-122.1,4.5417
776,37.64,-122.1,4.6635
777,37.65,-122.1,4.4427
778,37.65,-122.1,4.5303
779,37.65,-122.12,2.375
780,37.63,-122.1,3.8171
781,37.61,-122.1,4.5281
782,37.66,-122.13,4.3456
783,37.65,-122.11,3.4861
784,37.64,-122.11,5.2312
785,37.64,-122.11,3.6708
786,37.64,-122.12,3.8875
787,37.63,-122.09,3.9167
788,37.64,-122.09,3.9063
789,37.63,-122.1,3.7895
790,37.64,-122.08,3.8
791,37.64,-122.08,5.7309
792,37.64,-122.09,4.1141
793,37.64,-122.09,5.2838
794,37.64,-122.08,3.3479
795,37.64,-122.08,3.142
796,37.63,-122.08,3.7614
797,37.63,-122.08,4.25
798,37.64,-122.08,3.9338
799,37.64,-122.07,2.5158
800,37.63,-122.07,2.4808
801,37.64,-122.07,4.7083
802,37.64,-122.06,4.1652
803,37.64,-122.06,3.5541
804,37.65,-122.06,3.8036
805,37.64,-122.06,3.8259
806,37.63,-122.04,3.2331
807,37.62,-122.03,4.7109
808,37.62,-122.03,4.2468
809,37.62,-122.04,6.396
810,37.62,-122.04,3.8125
811,37.62,-122.04,3.2857
812,37.62,-122.03,3.8929
813,37.61,-122.03,3.7262
814,37.61,-122.03,4.0125
815,37.61,-122.04,4.1719
816,37.62,-122.04,4.2857
817,37.63,-122.08,3.6458
818,37.62,-122.08,2.6875
819,37.63,-122.07,3.7292
820,37.63,-122.07,4.5913
821,37.63,-122.06,3.8625
822,37.63,-122.06,3.3611
823,37.61,-122.05,2.8971
824,37.63,-122.08,4.0326
825,37.63,-122.08,4.0682
826,37.63,-122.09,5.3644
827,37.63,-122.09,4.7019
828,37.62,-122.08,5.64
829,37.61,-122.08,3.7931
830,37.61,-121.99,4.6458
831,37.6,-122.02,3.694
832,37.6,-122.02,2.652
833,37.6,-122.02,3.5
834,37.6,-122.02,3.2386
835,37.61,-122.03,5.097
836,37.6,-122.04,4.3875
837,37.6,-122.06,4.625
838,37.61,-122.08,5.0406
839,37.6,-122.06,5.8704
840,37.6,-122.06,5.3226
841,37.59,-122.08,4.235
842,37.59,-122.07,4.825
843,37.58,-122.08,5.5218
844,37.58,-122.07,6.5116
845,37.58,-122.07,6.0661
846,37.58,-122.08,6.0074
847,37.59,-122.07,4.6211
848,37.58,-122.07,5.225
849,37.59,-122.04,5.3428
850,37.59,-122.05,3.7462
851,37.6,-122.03,4.5721
852,37.59,-122.02,3.6923
853,37.59,-122.03,4.6786
854,37.59,-122.01,2.875
855,37.58,-122.02,3.3617
856,37.58,-122.01,5.7579
857,37.6,-122.09,2.9706
858,37.6,-122.08,3.9022
859,37.57,-121.97,4.6146
860,37.58,-121.96,5.7192
861,37.58,-121.98,3.6832
862,37.58,-121.99,6.2073
863,37.58,-122.0,5.8151
864,37.57,-122.01,5.8322
865,37.58,-122.04,5.6277
866,37.57,-122.04,5.2879
867,37.57,-122.07,6.5615
868,37.58,-122.06,5.6758
869,37.57,-122.05,6.1047
870,37.49,-121.93,3.5714
871,37.52,-122.07,6.0824
872,37.56,-122.02,4.3594
873,37.56,-122.02,5.5737
874,37.56,-122.03,4.8962
875,37.56,-122.03,4.6978
876,37.56,-122.01,4.4259
877,37.55,-122.01,3.3008
878,37.55,-122.02,4.5687
879,37.56,-122.01,3.8179
